Species	Grid_ID	Num_Seq	Num_Muts	GD_Pi	BP
Apodemus_sylvaticus	2930	4	17	0.00760233918128655	4560
Apodemus_sylvaticus	3017	5	12	0.00601664889717986	4862
Apodemus_sylvaticus	3019	8	11	0.00409860761377323	5582
Apodemus_sylvaticus	3023	89	75	0.00859931607244037	41073
Apodemus_sylvaticus	3200	2	1	0.00108932461873638	1883
Apodemus_uralensis	2846	6	3	0.00436363636363636	1650
Apodemus_uralensis	2853	3	8	0.00350877192982456	2701
Apodemus_uralensis	2857	2	8	0.0236686390532544	730
Apodemus_uralensis	2935	4	25	0.0121345029239766	4560
Apodemus_uralensis	2937	4	20	0.00891812865497076	4560
Apodemus_uralensis	3036	9	23	0.00825662609277357	7131
Apodemus_uralensis	3037	13	26	0.00530801506475581	13725
Apodemus_uralensis	3115	3	0	0	1982
Apodemus_uralensis	3116	4	23	0.0127734716839605	3122
Apodemus_uralensis	3117	3	10	0.0237529691211401	1982
Apodemus_uralensis	3118	4	3	0.00475059382422803	2403
Apodemus_uralensis	3122	3	5	0.00438596491228070	2701
Apodemus_uralensis	3124	3	68	0.0418807682713894	3335
Apodemus_witherbyi	2934	2	3	0.00765306122448980	784
Apodemus_witherbyi	3023	2	4	0.0102040816326531	784
Apomys_abrae	2236	11	56	0.0227503201575977	11488
Apomys_datae	2236	14	94	0.0308388377208704	14917
Apomys_insignis	1967	4	5	0.00292397660818713	4560
Ardops_nichollsi	2190	2	4	0.00826446280991736	968
Artibeus_aztecus	2094	2	3	0.00263157894736842	2280
Artibeus_aztecus	2270	2	4	0.00350877192982456	2280
Artibeus_fraterculus	1556	3	6	0.00526315789473684	2681
Artibeus_gnomus	1736	2	56	0.0491228070175439	2280
Artibeus_hirsutus	2270	2	1	0.000877192982456140	2280
Artibeus_incomitatus	2005	4	0	0	4560
Artibeus_inopinatus	2094	3	1	0.000584795321637427	3420
Artibeus_jamaicensis	1556	3	15	0.00877192982456140	3420
Artibeus_jamaicensis	1646	4	14	0.00614035087719298	4560
Artibeus_jamaicensis	1736	9	34	0.00867794486215539	9521
Artibeus_jamaicensis	2008	18	0	0	20520
Artibeus_jamaicensis	2093	3	12	0.00701754385964912	3420
Artibeus_jamaicensis	2100	14	2	0.000769539632177812	10246
Artibeus_jamaicensis	2184	4	32	0.0149122807017544	4560
Artibeus_jamaicensis	2190	28	1	0.000124956265307143	31264
Artibeus_jamaicensis	2273	11	51	0.0149791951120332	12495
Artibeus_jamaicensis	2451	2	1	0.000877192982456140	2280
Artibeus_lituratus	1645	4	8	0.0108063175394846	1604
Artibeus_lituratus	1736	2	8	0.00701754385964912	2280
Artibeus_lituratus	2100	7	36	0.0147196341722320	5109
Artibeus_phaeotis	2094	3	3	0.00175438596491228	3420
Artibeus_phaeotis	2181	4	8	0.00394736842105263	4560
Artibeus_phaeotis	2184	4	9	0.00409356725146199	4560
Artibeus_toltecus	2094	2	29	0.0254385964912281	2280
Artibeus_toltecus	2182	2	26	0.0228070175438597	2280
Arvicanthis_niloticus	1939	2	2	0.00179856115107914	2225
Arvicanthis_niloticus	2029	13	5	0.00131872669356467	14437
Aselliscus_stoliczkanus	2593	2	0	0	2280
Aselliscus_stoliczkanus	2776	4	83	0.0435672514619883	4560
Aselliscus_tricuspidatus	1347	2	4	0.00350877192982456	2280
Avahi_laniger	1047	2	50	0.0438596491228070	2280
Avahi_laniger	1137	3	44	0.0257309941520468	3420
Avahi_laniger	1227	3	6	0.00350877192982456	3420
