Species	Grid_ID	Num_Seq	Num_Muts	GD_Pi	BP
Bolitoglossa_macrinii	2181	2	20	0.0309119010819165	1294
Bolitoglossa_mombachoensis	2004	2	0	0	1294
Bolitoglossa_morio	2093	2	35	0.0646950092421442	1139
Bolitoglossa_palmata	1645	2	0	0	1294
Bolitoglossa_paraensis	1559	2	53	0.0850722311396469	1270
Bolitoglossa_pesrubra	2005	8	34	0.0174058517617278	5112
Bolitoglossa_platydactyla	2271	2	20	0.0344827586206897	1227
Bolitoglossa_rostrata	2183	2	3	0.0142180094786730	562
Bolitoglossa_subpalmata	2004	4	24	0.0195914662475120	2522
Bolitoglossa_zapoteca	2181	2	0	0	1294
Bombina_bombina	2843	2	5	0.00456204379562044	2237
Bombina_bombina	2929	3	0	0	3288
Bombina_bombina	2931	3	0	0	3288
Bombina_bombina	2932	8	9	0.00221584984358707	8768
Bombina_bombina	2933	4	1	0.000456204379562044	4384
Bombina_bombina	3019	9	8	0.00187550689375507	9864
Bombina_bombina	3020	24	17	0.00375768435712160	26394
Bombina_bombina	3021	34	17	0.00285920605800383	37264
Bombina_bombina	3023	4	9	0.00410583941605839	4384
Bombina_bombina	3108	4	0	0	4384
Bombina_bombina	3109	2	0	0	2192
Bombina_bombina	3110	3	5	0.00304136253041363	3288
Bombina_bombina	3111	2	2	0.00182481751824818	2192
Bombina_bombina	3112	3	0	0	3288
Bombina_lichuanensis	2593	2	0	0	2282
Bombina_microdeladigitora	2232	2	0	0	2282
Bombina_variegata	2839	3	0	0	3288
Bombina_variegata	2841	24	15	0.00162646778800382	26349
Bombina_variegata	2842	9	30	0.0133313057583130	9864
Bombina_variegata	2927	4	1	0.000456204379562044	4384
Bombina_variegata	2928	11	124	0.0507631055076311	12056
Bombina_variegata	2930	4	11	0.00501824817518248	4384
Bombina_variegata	2931	22	106	0.0377563434132776	24112
Bombina_variegata	2932	22	22	0.00522956362372421	24157
Bombina_variegata	2933	3	2	0.00121654501216545	3288
Bombina_variegata	3017	4	0	0	4384
Bombina_variegata	3019	5	87	0.0470802919708029	5480
Bombina_variegata	3020	38	88	0.0152825984576276	41783
Bombina_variegata	3021	59	15	0.00174589496047469	64664
Boophis_idae	1138	2	0	0	1075
Boophis_luteus	1138	2	0	0	1045
Boophis_rappiodes	1138	2	0	0	1044
Boulengerula_taitana	1585	3	17	0.0137485666002776	2348
Boulengerula_uluguruensis	1495	5	14	0.00786174750535601	3944
Buergeria_buergeri	2688	5	7	0.00766423357664234	2740
Buergeria_buergeri	2689	10	77	0.0711049584696703	6666
Buergeria_buergeri	2780	7	3	0.00191171359054571	3836
Buergeria_buergeri	2781	2	4	0.00729927007299270	1096
Buergeria_buergeri	2871	2	0	0	1096
Buergeria_japonica	2507	3	1	0.00121654501216545	1644
Buergeria_robusta	2416	3	2	0.00243309002433090	1644
Bufo_japonicus	2689	8	18	0.00721251543959751	7336
Bufo_japonicus	2690	4	14	0.00855257212088113	3390
Bufo_japonicus	2780	27	122	0.0442079660853261	22060
Bufo_japonicus	2781	4	46	0.0285147546076993	3392
Bufo_japonicus	2871	2	5	0.00578034682080925	1730
Calotriton_asper	2835	2	0	0	757
Chioglossa_lusitanica	2924	3	0	0	1110
Colostethus_fraterdanieli	1736	3	0	0	1155
Craugastor_crassidigitus	1915	27	123	0.0359258849042219	20613
Craugastor_crassidigitus	1916	3	56	0.0507421844239704	2092
Craugastor_crassidigitus	2005	11	109	0.0431755860425471	7739
