kingdom	phylum	class	order	family	genus	Species
Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes	Martes foina
Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes	Martes foina
Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes	Martes foina
Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes	Martes foina
Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes	Martes foina
Animalia	Chordata	Mammalia	Rodentia	Dipodidae	Sicista	Sicista betulina
Animalia	Chordata	Mammalia	Rodentia	Dipodidae	Sicista	Sicista betulina
Animalia	Chordata	Mammalia	Rodentia	Dipodidae	Sicista	Sicista betulina
Animalia	Chordata	Mammalia	Rodentia	Dipodidae	Sicista	Sicista betulina
Animalia	Chordata	Mammalia	Rodentia	Muridae	Micromys	Micromys minutus
Animalia	Chordata	Mammalia	Rodentia	Muridae	Micromys	Micromys minutus
Animalia	Chordata	Mammalia	Rodentia	Muridae	Micromys	Micromys minutus
Animalia	Chordata	Mammalia	Rodentia	Muridae	Micromys	Micromys minutus
Animalia	Chordata	Mammalia	Rodentia	Muridae	Micromys	Micromys minutus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus	Pterostichus melanarius
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus	Pterostichus diligens
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Acupalpus	Acupalpus parvulus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Oxypselaphus	Oxypselaphus obscurus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Anisodactylus	Anisodactylus binotatus
Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Lordithon	Lordithon lunulatus
Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Othius	Othius lapidicola
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Carabus	Carabus violaceus
Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Staphylinus	Staphylinus punctulatus
Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Lathrobium	Lathrobium brunnipes
Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Quedius	Quedius mesomelinus
Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Quedius	Quedius cinctus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Loricera	Loricera pilicornis
Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Quedius	Quedius lateralis
Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Tasgius	Tasgius morsitans
Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Ocypus	Ocypus brunnipes
Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Rugilus	Rugilus rufipes
Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Tachinus	Tachinus rufipennis
Animalia	Arthropoda	Insecta	Coleoptera	Melolonthidae	Serica	Serica brunnea
Animalia	Arthropoda	Insecta	Coleoptera	Lucanidae	Sinodendron	Sinodendron cylindricum
Animalia	Arthropoda	Insecta	Coleoptera	Geotrupidae	Geotrupes	Geotrupes stercorarius
Animalia	Arthropoda	Insecta	Coleoptera	Silphidae	Oiceoptoma	Oiceoptoma thoracicum
Animalia	Arthropoda	Insecta	Coleoptera	Silphidae	Nicrophorus	Nicrophorus vespilloides
Animalia	Arthropoda	Insecta	Coleoptera	Lucanidae	Dorcus	Dorcus parallelipipedus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Carabus	Carabus coriaceus
Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Ocypus	Ocypus olens
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus	Pterostichus oblongopunctatus
Animalia	Arthropoda	Insecta	Coleoptera	Staphylinidae	Philonthus	Philonthus decorus
Animalia	Arthropoda	Insecta	Coleoptera	Geotrupidae	Anoplotrupes	Anoplotrupes stercorosus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Carabus	Carabus hortensis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Carabus	Carabus granulatus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Nebria	Nebria brevicollis
Animalia	Arthropoda	Insecta	Coleoptera	Lampyridae	Lampyris	
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Abax	Abax parallelepipedus
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Pterostichus	Pterostichus niger
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Carabus	Carabus arcensis
Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Cychrus	Cychrus caraboides
Animalia	Arthropoda	Insecta	Coleoptera	Bostrichidae	Bostrichus	Bostrichus piceae
Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae	Cryphalus	Cryphalus abietis
Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	Pelophylax esculentus
Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	Pelophylax esculentus
Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla arborea
Animalia	Chordata	Amphibia	Caudata	Salamandridae	Lissotriton	Lissotriton vulgaris
Animalia	Chordata	Amphibia	Caudata	Salamandridae	Triturus	Triturus cristatus
Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	Bufo bufo
Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	Bombina bombina
Animalia	Chordata	Reptilia	Squamata	Lacertidae	Zootoca	Zootoca vivipara
Animalia	Chordata	Reptilia	Squamata	Anguidae	Anguis	Anguis fragilis
