occurrenceID	basisOfRecord	eventDate	DM ID	 ID number	DNAmark ID	Institution ID/ ZM no/ Voucher	Danish name	English name	Species name	NCBI Scientific name if different from species name	Stored in	Type (skin, tissue, bone, hair, organ)	Return rest of sample	Sample storage DNAmark	Photo for DNAmark	Institution (Voucher )	Voucher stored as	DNA sample/ Tissue collection code	Collecting_Year	Collecting_Month	Collecting_Day	Collected by	Country	countryCode	Locality	Geographical exact (CoordinatePrecisioninMeters)	decimalLatitude (UTM: N)	decimalLongitude (UTM: E)	geodeticDatum	Identified by (Validator)	Registred by	Sampled at	Sampling_Year	Sampling_Month	Sampling_Day	Sampled by	individualCount	organismQuantity	organismQuantityType	Taxon ID (GBIF) ?	NCBI Taxon ID	scientificName	key GBIF	kingdom	phylum	class	order	family	genus	Species	matchType	confidence	status	taxonRank	Corrected by Christina Lehmkuhl Noer	K-mer file	Mitochondrial/chloroplast genome filename	Genome sequences filename	Alcohol	Skin	Skull	Skeleton	Mounted	Mummy	Freezer	Tissue Coll. Code	Collecting code	Acronym 	Notes	LatLongVariable	P	CatFrom	CatTo	P-gr.	Cruise	Station 	Haul	Gear	N/S	W/E	Depth (meters)	Wire (m)	Further loc. Data	Zmcoll	Etiket	Lab ID	Quantity	fauna district	host	stage	available	Alt Cat Number	Type Status	Type/Count\n[imported]	Type specimen stored in formaldehyd	HABITAT	Isolator	Isol. Date	Personal code 	Isoaltion sample	Isolation unit	Isolation method	STATE	Medium	Temp	DEP	DEPD	Authentic	Toxic	Class	Remarks	subsampled by 	validationStatus	taxon_id	taxonFullName	taxonDanishName	taxonRedListCategory	decimalLatitude	decimalLongitude	accuracy	substrate	vegetationType	associatedTaxa	ecologyNotes	notes	Legit	URI	NO	HAB	DEL	Collected at	Notes	Evt V nummer	oprindelse af materiale	Square	Position
	PreservedSpecimen		DM11	11	DMM11	M4968	Dværgflagermus	Soprano pipistrelle	Pipistrellus pygmaeus		Ethanole	Tissue	Yes	Frozen	NO	ZM		MoA01-13.05.2003	2003	5	11		Denmark	DK	Under fuglekasse på gæstehytte på adressen Sverregårdsvej 13, 4621 Gadstrup.	eksakt koordinat	0	0	WGS84 -?	MA	PK	ZM	2017	4	25	Daniel Klingberg Johansson	1	1	individuals			Pipistrellus pygmaeus (Leach, 1825)	5707150	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus pygmaeus	EXACT	98	ACCEPTED	SPECIES					1	0	0	0	0	0	0																																																																							
	PreservedSpecimen		DM12	12	DMM12	M5106	Brunflagermus	Common noctule	Nyctalus noctula		Ethanole	Tissue	Yes	Frozen	NO	ZM		MOA12.19.07.2004	2003	9	0		Denmark	DK	Koldinghus, Museet. Fundet af medsrbejder	eksakt koordinat	55.49221	9.47531	WGS84 -?	MA	HJB	ZM	2017	4	25	Daniel Klingberg Johansson	1	1	individuals			Nyctalus noctula (Schreber, 1774)	5218524	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Nyctalus	Nyctalus noctula	EXACT	98	ACCEPTED	SPECIES					1	0	0	0	0	0	0																																																																							
	PreservedSpecimen		DM13	13	DMM13	M8474	Grævling	European badger	Meles meles		DMSO	Tissue	Yes	Frozen	NO	ZM		AH01-20.2.2008	2006	11	17		Denmark	DK	NV for Store Kattinge Sø, i vejgaflen mod henholdsvis Kattinge og Bognæs vest for Boserup Skov ved Roskilde.	område	0	0	WGS84 -?		PK	ZM	2017	4	25	Daniel Klingberg Johansson	1	1	individuals			Meles meles (Linnaeus, 1758)	2433875	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles	EXACT	98	ACCEPTED	SPECIES					0	0	0	1	0	0	0																																																																							
	PreservedSpecimen		DM14	14	DMM14	M15292	Egern	Red squirrel	Sciurus vulgaris		Ethanole	Tissue	Yes	Frozen	NO	ZM		AH04-19.02.2001	1999	10	10		Denmark	DK	Bagsværd Hovedgade.	område	0	0	WGS84 -?	MA	PK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals	17242	55149	Sciurus vulgaris Linnaeus, 1758	8211070	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Sciurus	Sciurus vulgaris	EXACT	98	ACCEPTED	SPECIES					0	0	0	1	0	0	0																																																																							
	PreservedSpecimen		DM15	15	DMM15	M15293	Egern	Red squirrel	Sciurus vulgaris		Ethanole	Tissue	Yes	Frozen	NO	ZM		AH02-19.02.2001	1986	9	18		Denmark	DK	Rådvadsvej, lige ved fodboldbanerne, København.	område	0	0	WGS84 -?	MA	PK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Sciurus vulgaris Linnaeus, 1758	8211070	Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Sciurus	Sciurus vulgaris	EXACT	98	ACCEPTED	SPECIES					0	0	0	1	0	0	0																																																																							
	PreservedSpecimen		DM16	16	DMM16	M15299	Mosegris	European water vole	Arvicola terrestris		Ethanole	Tissue	Yes	Frozen	NO	ZM		AH05-26.02.2001	1988	6	6		Denmark	DK	Ved Salløv Mose, Gadstrup, Roskilde Amt.	område	0	0	WGS84 -?	AH	PK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Arvicola terrestris (Linnaeus, 1758)	2438491	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Arvicola	Arvicola amphibius	EXACT	98	SYNONYM	SPECIES					0	0	0	1	0	0	0																																																																							
	PreservedSpecimen		DM17	17	DMM17	M15581	Halsbåndmus	Yellow-necked mouse	Apodemus flavicollis		Ethanole	Tissue	Yes	Frozen	NO	ZM		AH01.04.10.01	2001	9	27		Denmark	DK	Ny Hjortspringvej 3m 3500 Værløse	eksakt koordinat	55.754244	12.414647	WGS84 -?	HJB	LAK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Apodemus flavicollis (Melchior, 1834)	2437756	Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus flavicollis	EXACT	98	ACCEPTED	SPECIES					0	0	0	0	0	0	1																																																																							
	PreservedSpecimen		DM18	18	DMM18	M15597	Halsbåndmus	Yellow-necked mouse	Apodemus flavicollis		Ethanole	Tissue	Yes	Frozen	NO	ZM		AH03.04.10.01	2001	9	30		Denmark	DK	Stockholtbuen( Garage) Grønsvinget 38, 2730 Herlev	eksakt koordinat	55.735693	12.411118	WGS84 -?	HJB	LAK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Apodemus flavicollis (Melchior, 1834)	2437756	Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus flavicollis	EXACT	98	ACCEPTED	SPECIES					0	0	0	0	0	0	1																																																																							
	PreservedSpecimen		DM19	19	DMM19	M16911	Rødmus	Bank vole	Clethrionomys glareolus		Ethanole	Tissue	Yes	Frozen	NO	ZM		MoA05-28.07.2003	2002	1	17		Denmark	DK	Maglemosevej 1, Veddinge, 4540 Fårevejle	eksakt koordinat	0	0	WGS84 -?	MA	PK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Clethrionomys glareolus (Schreber, 1780)	2439140	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Myodes	Myodes glareolus	EXACT	98	SYNONYM	SPECIES					1	0	0	0	0	0	0																																																																							
	PreservedSpecimen		DM20	20	DMM20	M16917	Rødmus	Bank vole	Clethrionomys glareolus		Ethanole	Tissue	Yes	Frozen	NO	ZM		MoA09-11.02.2004	2002	1	10		Denmark	DK	Engestofte	område	0	0	WGS84 -?	MA	PK	ZM	2017	6	1	Daniel Klingberg Johansson	1	1	individuals			Clethrionomys glareolus (Schreber, 1780)	2439140	Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Myodes	Myodes glareolus	EXACT	98	SYNONYM	SPECIES					1	0	0	0	0	0	0																																																																							
