basisOfRecord;DNAmarkID;InstitutionID;DanishName;EnglishName;ScientificName;VoucherConditionBeforeSampling;SampleType;InstitutionVoucher;CollectingYear;CollectingMonth;CollectingDay;CollectedBy;Country;countryCode;Locality;GeographicalExact;decimalLatitude (UTM: N);decimalLongitude (UTM: E);geodeticDatum;IdentifiedBy_Validator;GBIF_scientificName;key_GBIF;kingdom;phylum;class;order;family;genus;species;subspecies_variant;GenBankAccession;Fastafile_name
PreservedSpecimen;DM682;AAU-53;Lysegrøn bruskigle;Glossiphonia complanata;Glossiphonia complanata;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2016;5;0;Per Gørtz;Denmark;DK;Lavringe Å (Avl.4), Station 673;Area, Coordinate from google maps;55.564325;11.981339;0;Per Gørtz;Glossiphonia complanata (Linnaeus, 1758);2307956;Animalia;Annelida;Clitellata;Rhynchobdellida;Glossiphoniidae;Glossiphonia;Glossiphonia complanata;0;#N/A;Glossiphonia_complanata_DM682.fasta
PreservedSpecimen;DM687;AAU-146;Andeigle;Theromyzon tessulatum;Theromyzon tessulatum;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2016;4;0;Per Gørtz;Denmark;DK;Lavringe Å (Avl.4), Station 673;Area, Coordinate from google maps;55.564325;11.981339;0;Per Gørtz;Theromyzon tessulatum (O.F.Müller, 1774);2307911;Animalia;Annelida;Clitellata;Rhynchobdellida;Glossiphoniidae;Theromyzon;Theromyzon tessulatum;0;#N/A;Theromyzon_tessulatum_DM687.fasta
PreservedSpecimen;DM1166;0;Lægeigle;Medicinal leech;Hirudo medicinalis;Ethanol maybe previously formalin;Tissue from rear end of animal;Natural History Museum of Denmark;1985;6;4;U. Røen;Denmark;DK;Dam ved Duegård, Dueodde, Røen SSt. 5b;Area, Coordinate from google maps;54.995765;15.088553;0;Pia Baagøe;Hirudo medicinalis Linnaeus, 1758;2308887;Animalia;Annelida;Clitellata;Arhynchobdellida;Hirudinidae;Hirudo;Hirudo medicinalis;0;#N/A;Hirudo_medicinalis_DM1166.fasta
PreservedSpecimen;DM1167;0;Lægeigle;Medicinal leech;Hirudo medicinalis;Ethanol maybe previously formalin;Tissue from rear end of animal;Natural History Museum of Denmark;1958;8;19;Birger Jensen;Denmark;DK;Danse Storedam ved Hillerød, Store Donse Dam? ;Area, Coordinate from google maps;55.895664;12.402251;0;JO;Hirudo medicinalis Linnaeus, 1758;2308887;Animalia;Annelida;Clitellata;Arhynchobdellida;Hirudinidae;Hirudo;Hirudo medicinalis;0;#N/A;Hirudo_medicinalis_DM1167.fasta
PreservedSpecimen;DM1168;0;Hesteigle;Horse-lech;Haemopis sanguisuga;Ethanol maybe previously formalin;Tissue from rear end of animal;Natural History Museum of Denmark;1984;8;1;Pia Baagøe;Denmark;DK;Gnåmyn ved Gudhjem, Bornholm;Area, Coordinate from google maps;55.223892;14.896406;0;Pia Baagøe;Haemopis sanguisuga (Linnaeus, 1758);4411067;Animalia;Annelida;Clitellata;Arhynchobdellida;Haemopidae;Haemopis;Haemopis sanguisuga;0;#N/A;Haemopis_sanguisuga_DM1168.fasta
PreservedSpecimen;DM1169;0;Hesteigle;Horse-lech;Haemopis sanguisuga;Ethanol maybe previously formalin;Tissue from rear end of animal;Natural History Museum of Denmark;1981;7;17;T. Hatting;Denmark;DK;Kasjlo, N. Samsø;Area, Coordinate from google maps;55.925928;10.60146;0;Pia Baagøe;Haemopis sanguisuga (Linnaeus, 1758);4411067;Animalia;Annelida;Clitellata;Arhynchobdellida;Haemopidae;Haemopis;Haemopis sanguisuga;0;#N/A;Haemopis_sanguisuga_DM1169.fasta
PreservedSpecimen;DM1198;AAU-11;Stribet hundeigle;Erpobdella lineata;Erpobdella lineata;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2016;10;0;Per Gørtz;Denmark;DK;Usserød Å, Station 6398, Kokkedal, Sjælland;Area, Coordinate from google maps;55.905831;12.495504;0;Per Gørtz;Erpobdella de Blainville, 1818;2308840;Animalia;Annelida;Clitellata;Arhynchobdellida;Erpobdellidae;Erpobdella;Erpobdella lineata;0;#N/A;Erpobdella_lineata_DM1198.fasta
PreservedSpecimen;DM1199;AAU-12;Hundeigle;Erpobdella octoculata;Erpobdella octoculata;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2016;10;0;Per Gørtz;Denmark;DK;Usserød Å, Station 6398, Kokkedal, Sjælland;Area, Coordinate from google maps;55.905831;12.495504;0;Per Gørtz;Erpobdella octoculata (Linnaeus, 1758);2308846;Animalia;Annelida;Clitellata;Arhynchobdellida;Erpobdellidae;Erpobdella;Erpobdella octoculata;0;MT410851;Erpobdella_octoculata_DM1199.fasta
PreservedSpecimen;DM1200;AAU-13;Ensfarvet Hundeigle;Erpobdella testacea;Erpobdella testacea;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2016;10;0;Per Gørtz;Denmark;DK;Usserød Å, Station 6398, Kokkedal, Sjælland;Area, Coordinate from google maps;55.905831;12.495504;0;Per Gørtz;Erpobdella testacea (Savigny, 1822);4411080;Animalia;Annelida;Clitellata;Arhynchobdellida;Erpobdellidae;Erpobdella;Erpobdella testacea;0;MT584166;Erpobdella_testacea_DM1200.fasta
PreservedSpecimen;DM1201;AAU-14;Skjoldbruskigle;Helobdella stagnalis;Helobdella stagnalis;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2016;4;0;Per Gørtz;Denmark;DK;T.T. Grønholt Å, Grønholt, Sjælland;Area, Coordinate from google maps;55.945401;12.384939;0;Per Gørtz;Helobdella stagnalis (Linnaeus, 1758);2307936;Animalia;Annelida;Clitellata;Rhynchobdellida;Glossiphoniidae;Helobdella;Helobdella stagnalis;0;MT483656;Helobdella_stagnalis_DM1201.fasta
PreservedSpecimen;DM1227;AAU-56;Bækorm;Square-tailed worm;Eiseniella tetraedra;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2016;4;0;Per Gørtz;Denmark;DK;Stenbækken, Lejre, Kirke Såby, Sjælland;Area, Coordinate from google maps;55.628713;11.91761;0;Per Gørtz;Eiseniella tetraedra (Savigny, 1826);2307762;Animalia;Annelida;Clitellata;Crassiclitellata;Lumbricidae;Eiseniella;Eiseniella tetraedra;0;#N/A;Eiseniella_tetraedra_DM1227.fasta
PreservedSpecimen;DM1288;AAU-138;Lumbriculus variegatus;California blackworm;Lumbriculus variegatus;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2016;3;0;Per Gørtz;Denmark;DK;Funder Å, Silkeborg, Jylland;Area, Coordinate from google maps;56.131064;9.445144;0;Per Gørtz;Lumbriculus variegatus (Müller, 1774);2308023;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;Lumbriculus;Lumbriculus variegatus;0;#N/A;Lumbriculus_variegatus_DM1288.fasta
PreservedSpecimen;DM1296;AAU-151;Fiskeigle;Fish leech;Piscicola geometra;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2016;10;0;Per Gørtz;Denmark;DK;Usserød Å, Station 6398, Kokkedal, Sjælland;Area, Coordinate from google maps;55.905831;12.495504;0;Per Gørtz;Piscicola geometra (Linnaeus, 1761);5193997;Animalia;Annelida;Clitellata;Rhynchobdellida;Piscicolidae;Piscicola;Piscicola geometra;0;#N/A;Piscicola_geometra_DM1296.fasta
PreservedSpecimen;DM1299;AAU-164;Hesteigle;Horse-lech;Haemopis sanguisuga;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2017;4;0;Per Gørtz;Denmark;DK;Hove Å, Hedehusene, Sjælland;Area, Coordinate from google maps;55.70227;12.238194;0;Per Gørtz;Haemopis sanguisuga (Linnaeus, 1758);4411067;Animalia;Annelida;Clitellata;Arhynchobdellida;Haemopidae;Haemopis;Haemopis sanguisuga;0;#N/A;Haemopis_sanguisuga_DM1299.fasta
PreservedSpecimen;DM61;NHMD296575;Pterostichus melanarius;Common black ground beetle;Pterostichus melanarius;Dried;Leg;Natural History Museum of Denmark;2015;8;11;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Pterostichus melanarius (Illiger, 1798);7856746;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichus;Pterostichus melanarius;0;#N/A;Pterostichus_melanarius_DM61.fasta
PreservedSpecimen;DM62;NHMD296587;Brunbenet jordløber;Pterostichus diligens;Pterostichus diligens;Dried;Leg;Natural History Museum of Denmark;2014;6;14;A. Hansen & M. justesen;Denmark;DK;Badesøen, Læsø;Exact;57.270833;10.994722;0;Alexey Solodovnikov;Pterostichus diligens (Sturm, 1824);7873810;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichus;Pterostichus diligens;0;#N/A;Pterostichus_diligens_DM62.fasta
PreservedSpecimen;DM63;NHMD296586;Bredrygget moseløber;Acupalpus parvulus;Acupalpus parvulus;Dried;Leg;Natural History Museum of Denmark;2014;6;14;A. Hansen & M. justesen;Denmark;DK;Badesøen, Læsø;Exact;57.270833;10.994722;0;Alexey Solodovnikov;Acupalpus parvulus (Sturm, 1825);4475699;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Acupalpus;Acupalpus parvulus;0;#N/A;Acupalpus_parvulus_DM63.fasta
PreservedSpecimen;DM64;NHMD296589;Rødbrun kvikløber;Oxypselaphus obscurus;Oxypselaphus obscurus;Dried;Leg;Natural History Museum of Denmark;2014;6;14;A. Hansen & M. justesen;Denmark;DK;Badesøen, Læsø;Exact;57.270833;10.994722;0;Alexey Solodovnikov;Oxypselaphus obscurus (Herbst, 1784);4474146;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Oxypselaphus;Oxypselaphus obscurus;0;#N/A;Oxypselaphus_obscurus_DM64.fasta
PreservedSpecimen;DM65;NHMD296588;Almindelig bredløber;Anisodactylus binotatus;Anisodactylus binotatus;Dried;Leg;Natural History Museum of Denmark;2014;6;14;A. Hansen & M. justesen;Denmark;DK;Badesøen, Læsø;Exact;57.270833;10.994722;0;Alexey Solodovnikov;Anisodactylus binotatus (Fabricius, 1787);1036917;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Anisodactylus;Anisodactylus binotatus;0;#N/A;Anisodactylus_binotatus_DM65.fasta
PreservedSpecimen;DM66;NHMD296570;Lordithon lunulatus;Lordithon lunulatus;Lordithon lunulatus;Dried;Leg;Natural History Museum of Denmark;2015;8;11;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Lordithon lunulatus (Linnaeus, 1767);4438428;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Lordithon;Lordithon lunulatus;0;#N/A;Lordithon_lunulatus_DM66.fasta
PreservedSpecimen;DM67;NHMD296581;Othius lapidicola;Othius lapidicola;Othius lapidicola;Dried;Leg;Natural History Museum of Denmark;2015;9;3;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Othius lapidicola Märkel & Kiesenwetter, 1848;5746222;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Othius;Othius lapidicola;0;#N/A;Othius_lapidicola_DM67.fasta
PreservedSpecimen;DM68;NHMD296574;Violetrandet løber;Violet ground beetle;Carabus violaceus;Dried;Leg;Natural History Museum of Denmark;2015;8;11;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Carabus violaceus Linnaeus, 1758;4470765;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus violaceus;0;#N/A;Carabus_violaceus_DM68.fasta
PreservedSpecimen;DM69;NHMD296580;Othius punctulatus;Othius punctulatus;Othius punctulatus;Dried;Leg;Natural History Museum of Denmark;2015;9;3;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Othius punctulatus (Goeze, 1777);5746231;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Othius;Othius punctulatus;0;#N/A;Othius_punctulatus_DM69.fasta
PreservedSpecimen;DM70;NHMD296582;Lathrobium brunnipes;Lathrobium brunnipes;Lathrobium brunnipes;Dried;Leg;Natural History Museum of Denmark;2015;9;3;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Lathrobium brunnipes (Fabricius, 1792);4438852;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Lathrobium;Lathrobium brunnipes;0;#N/A;Lathrobium_brunnipes_DM70.fasta
PreservedSpecimen;DM71;NHMD296572;Quedius mesomelinus;Quedius mesomelinus;Quedius mesomelinus;Dried;Leg;Natural History Museum of Denmark;2015;8;11;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Quedius mesomelinus (Marsham, 1802);4436478;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Quedius;Quedius mesomelinus;0;#N/A;Quedius_mesomelinus_DM71.fasta
PreservedSpecimen;DM72;NHMD296571;Quedius cinctus;Quedius cinctus;Quedius cinctus;Dried;Leg;Natural History Museum of Denmark;2015;8;11;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Quedius cinctus (Paykull, 1790);4436645;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Quedius;Quedius cinctus;0;#N/A;Quedius_cinctus_DM72.fasta
PreservedSpecimen;DM73;NHMD296579;Børsteløber;Loricera pilicornis;Loricera pilicornis;Dried;Leg;Natural History Museum of Denmark;2015;8;11;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Loricera pilicornis (Fabricius, 1775);1035290;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Loricera;Loricera pilicornis;0;#N/A;Loricera_pilicornis_DM73.fasta
PreservedSpecimen;DM74;NHMD296577;Quedius lateralis;Quedius lateralis;Quedius lateralis;Dried;Leg;Natural History Museum of Denmark;2015;10;6;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Quedius lateralis (Gravenhorst, 1802);4436510;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Quedius;Quedius lateralis;0;#N/A;Quedius_lateralis_DM74.fasta
PreservedSpecimen;DM75;NHMD296573;Tasgius morsitans;Tasgius morsitans;Tasgius morsitans;Dried;Leg;Natural History Museum of Denmark;2015;8;11;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Tasgius morsitans (P.Rossi, 1790);4437505;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Tasgius;Tasgius morsitans;0;#N/A;Tasgius_morsitans_DM75.fasta
PreservedSpecimen;DM76;NHMD296584;Ocypus brunnipes;Ocypus brunnipes;Ocypus brunnipes;Dried;Leg;Natural History Museum of Denmark;2015;9;4;D. Byrial & M. Justesen;Denmark;DK;Suserup forest, UTM: 32N;Exact;55.37951149;11.55698454;0;Alexey Solodovnikov;Ocypus brunnipes (Fabricius, 1781);5746165;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Ocypus;Ocypus brunnipes;0;#N/A;Ocypus_brunnipes_DM76.fasta
PreservedSpecimen;DM77;NHMD296583;Rugilus rufipes;Rugilus rufipes;Rugilus rufipes;Dried;Leg;Natural History Museum of Denmark;2015;10;6;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Rugilus rufipes Germar, 1836;4438752;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Rugilus;Rugilus rufipes;0;#N/A;Rugilus_rufipes_DM77.fasta
PreservedSpecimen;DM78;NHMD296585;Tachinus rufipes;Tachinus rufipes;Tachinus rufipes;Dried;Leg;Natural History Museum of Denmark;2015;9;4;D. Byrial & M. Justesen;Denmark;DK;Suserup forest, UTM: 32N;Exact;55.37951149;11.55698454;0;Alexey Solodovnikov;Tachinus rufipes (Linnaeus, 1758);7204257;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Tachinus;Tachinus rufipes;0;#N/A;Tachinus_rufipes_DM78.fasta
PreservedSpecimen;DM79;NHMD296564;Natoldenborre;Serica brunnea;Serica brunnea;Dried;Leg;Natural History Museum of Denmark;2015;8;11;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Serica brunnea (Linnaeus, 1758);8353562;Animalia;Arthropoda;Insecta;Coleoptera;Melolonthidae;Serica;Serica brunnea;0;#N/A;Serica_brunnea_DM79.fasta
PreservedSpecimen;DM80;NHMD296565;Valsehjort;Horned stag beetle;Sinodendron cylindricum;Dried;Leg;Natural History Museum of Denmark;2015;8;11;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Sinodendron cylindricum (Linnaeus, 1758);4425587;Animalia;Arthropoda;Insecta;Coleoptera;Lucanidae;Sinodendron;Sinodendron cylindricum;0;#N/A;Sinodendron_cylindricum_DM80.fasta
PreservedSpecimen;DM81;NHMD296566;Skovskarnbasse;Woodland Dor Beetle;Anoplotrupes stercorosus;Dried;Leg;Natural History Museum of Denmark;2015;9;3;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Anoplotrupes stercorosus (Scriba, 1791);1071240;Animalia;Arthropoda;Insecta;Coleoptera;Geotrupidae;Anoplotrupes;Anoplotrupes stercorosus;0;#N/A;Anoplotrupes_stercorosus_DM81.fasta
PreservedSpecimen;DM82;NHMD296569;Rødbrystet ådselbille;Red-breasted carrion beetle;Oiceoptoma thoracicum;Dried;Leg;Natural History Museum of Denmark;2015;8;11;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Oiceoptoma thoracicum (Linnaeus, 1758);4448343;Animalia;Arthropoda;Insecta;Coleoptera;Silphidae;Oiceoptoma;Oiceoptoma thoracicum;0;#N/A;Oiceoptoma_thoracicum_DM82.fasta
PreservedSpecimen;DM83;NHMD296568;Nicrophorus vespilloides;Nicrophorus vespilloides;Nicrophorus vespilloides;Dried;Leg;Natural History Museum of Denmark;2015;8;11;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Nicrophorus vespilloides Herbst, 1783;1039006;Animalia;Arthropoda;Insecta;Coleoptera;Silphidae;Nicrophorus;Nicrophorus vespilloides;0;#N/A;Nicrophorus_vespilloides_DM83.fasta
PreservedSpecimen;DM84;NHMD296567;Bøghjort;lesser stag beetle;Dorcus parallelipipedus;Dried;Leg;Natural History Museum of Denmark;2015;8;11;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Dorcus parallelipipedus (Linnaeus, 1758);5743112;Animalia;Arthropoda;Insecta;Coleoptera;Lucanidae;Dorcus;Dorcus parallelipipedus;0;#N/A;Dorcus_parallelipipedus_DM84.fasta
PreservedSpecimen;DM85;NHMD296576;Læderløber;Leather beetle;Carabus coriaceus;Dried;Leg;Natural History Museum of Denmark;2015;10;6;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Carabus coriaceus Linnaeus, 1758;4470451;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus coriaceus;0;#N/A;Carabus_coriaceus_DM85.fasta
PreservedSpecimen;DM86;NHMD296578;Stor kæmperovbille;Devil's coach-horse beetle ;Ocypus olens;Dried;Leg;Natural History Museum of Denmark;2015;9;3;P. Nilausen;Denmark;DK;38 km North of Copenhagen, Strødam Naturreservat;Exact;55.95;12.266667;0;Alexey Solodovnikov;Ocypus olens (Müller & O.F., 1764);5746121;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Ocypus;Ocypus olens;0;#N/A;Ocypus_olens_DM86.fasta
PreservedSpecimen;DM87;NHMD233309;Bronzejordløber;Pterostichus oblongopunctatus;Pterostichus oblongopunctatus;96% ethanol;Leg;Natural History Museum of Denmark;2014;6;14;A. Hansen & M. justesen;Denmark;DK;DK-2014-VI-02, Klitplantage, Doktorvej, Læsø;Exact;57.276944;10.950833;0;Alexey Solodovnikov;Pterostichus oblongopunctatus (Fabricius, 1787);7642452;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichus;Pterostichus oblongopunctatus;0;MN122833;#N/A
PreservedSpecimen;DM88;NHMD233311;Philonthus decorus;Philonthus decorus;Philonthus decorus;96% ethanol;Leg;Natural History Museum of Denmark;2017;6;30;Terrestrisk Zoologi Feltkursus;Denmark;DK;2,1 km SE of Sorø, Kristiansminde Feltstation;Exact;55.4186;11.586817;0;Alexey Solodovnikov;Philonthus decorus (Gravenhorst, 1802);4437019;Animalia;Arthropoda;Insecta;Coleoptera;Staphylinidae;Philonthus;Philonthus decorus;0;MN122841;#N/A
PreservedSpecimen;DM89;NHMD233047;Skovskarnbasse;Woodland Dor Beetle;Anoplotrupes stercorosus;96% ethanol;Leg;Natural History Museum of Denmark;2017;6;30;Terrestrisk Zoologi Feltkursus;Denmark;DK;2,1 km SE of Sorø, Kristiansminde Feltstation;Exact;55.4186;11.586817;0;Alexey Solodovnikov;Anoplotrupes stercorosus (Scriba, 1791);1071240;Animalia;Arthropoda;Insecta;Coleoptera;Geotrupidae;Anoplotrupes;Anoplotrupes stercorosus;0;MN122896;#N/A
PreservedSpecimen;DM90;NHMD233048;Guldpletløber;Beetle;Carabus hortensis;96% ethanol;Leg;Natural History Museum of Denmark;2014;6;14;A. Hansen & M. justesen;Denmark;DK;DK-2014-VI-03, Klitplantage, Storedalsvej, Læsø;Exact;57.281667;11.008889;0;Alexey Solodovnikov;Carabus hortensis Linnaeus, 1758;4471125;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus hortensis;0;MN122850;#N/A
PreservedSpecimen;DM91;NHMD233060;Kornet løber;Granulated carabid;Carabus granulatus;96% ethanol;Leg;Natural History Museum of Denmark;2014;5;20;A. Hansen & A. Solodovnikov;Denmark;DK;DK-2014-V-02a, Ravnborg Skov W of Øster Hurup;Exact;56.799444;10.166111;0;Alexey Solodovnikov;Carabus granulatus Linnaeus, 1758;1036789;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus granulatus;0;MN122870;#N/A
PreservedSpecimen;DM92;NHMD233314;Skovfladløber;European Gazelle Beetle;Nebria brevicollis;96% ethanol;Leg;Natural History Museum of Denmark;2014;6;18;A. Solodovnikov, A. K. Hansen, M.J. Justesen ;Denmark;DK;DK-2014-V-01a, Northern Jutland/ Laesoe;Exact;57.266667;10.983333;0;Alexey Solodovnikov;Nebria brevicollis (Fabricius, 1792);1035578;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Nebria;Nebria brevicollis;0;MN122901;#N/A
PreservedSpecimen;DM93;NHMD233312;Sankthansorm;Common glow worm;Lampyris noctiluca;96% ethanol;Leg;Natural History Museum of Denmark;2017;6;30;Terrestrisk Zoologi Feltkursus;Denmark;DK;2,1 km SE of Sorø, Kristiansminde Feltstation;Exact;55.4186;11.586817;0;Alexey Solodovnikov;Lampyris noctiluca (Linnaeus, 1758);5744295;Animalia;Arthropoda;Insecta;Coleoptera;Lampyridae;Lampyris;Lampyris noctiluca;0;MN122858;#N/A
PreservedSpecimen;DM94;NHMD233313;Bred muldløber;Abax parallelepipedus;Abax parallelepipedus;96% ethanol;Leg;Natural History Museum of Denmark;2017;6;30;Terrestrisk Zoologi Feltkursus;Denmark;DK;2,1 km SE of Sorø, Kristiansminde Feltstation;Exact;55.4186;11.586817;0;Alexey Solodovnikov;Abax parallelepipedus (Piller & Mitterpacher, 1783);5754772;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Abax;Abax parallelepipedus;0;MN122836;#N/A
PreservedSpecimen;DM95;NHMD233316;Skovjordløber;Pterostichus niger;Pterostichus niger;96% ethanol;Leg;Natural History Museum of Denmark;2014;6;16;A. Hansen & M. justesen;Denmark;DK;DK-2014-VI-09, Skagen, Grenen, 1 km S of grenen;Exact;57.735;10.621111;0;Alexey Solodovnikov;Pterostichus niger (Schaller, 1783);7525211;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Pterostichus;Pterostichus niger;0;MN122874;#N/A
PreservedSpecimen;DM96;NHMD233308;Lyngløberen ;Carabus arvensis;Carabus arvensis;96% ethanol;Leg;Natural History Museum of Denmark;2014;6;14;A. Hansen & M. justesen;Denmark;DK;DK-2014-VI-03, Klitplantage, Storedalsvej, Læsø;Exact;57.281667;11.008889;0;Alexey Solodovnikov;Carabus arvensis Herbst, 1784;5872829;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus arvensis;0;MN122835;#N/A
PreservedSpecimen;DM97;NHMD233315;Sneglerøver;Cychrus caraboides;Cychrus caraboides;96% ethanol;Leg;Natural History Museum of Denmark;2014;6;18;A. Solodovnikov, A. K. Hansen, M.J. Justesen ;Denmark;DK;DK-2014-V-01a, Northern Jutland/ Laesoe;Exact;57.266667;10.983333;0;Alexey Solodovnikov;Cychrus caraboides (Linnaeus, 1758);5753612;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Cychrus;Cychrus caraboides;0;#N/A;Cychrus_caraboides_DM97.fasta
PreservedSpecimen;DM98;NHMD296590;Ædelgranbarkbille;Fir Bark Beetle;Cryphalus piceae;Dried;Whole animal;Natural History Museum of Denmark;2017;6;16;M. Debue, C. Malaise, M.J. Justesen;Denmark;DK;DK-NWZ- Jyderup, NWZ Jyderup;Exact;55.616389;11.424722;0;A. K. Hansen;Cryphalus piceae Wood & Bright, 1992;1212134;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Bostrichus;Cryphalus piceae;0;#N/A;Cryphalus_piceae_DM98.fasta
PreservedSpecimen;DM99;NHMD296591;Grankvistbarkbille;Bark beetle;Cryphalus abietis;Dried;Whole animal;Natural History Museum of Denmark;2017;6;16;M. Debue, C. Malaise, M.J. Justesen;Denmark;DK;DK-NWZ- Jyderup, NWZ Jyderup;Exact;55.616389;11.424722;0;A. K. Hansen;Cryphalus abietis Ratzeburg, 1837;1212164;Animalia;Arthropoda;Insecta;Coleoptera;Curculionidae;Cryphalus;Cryphalus abietis;0;MT410860;Cryphalus_abietis_DM99.fasta
PreservedSpecimen;DM255;NHMD233046;Kratløber;European ground beetle;Carabus nemoralis;96% ethanol;Leg;Natural History Museum of Denmark;2014;5;20;A. Hansen & A. Solodovnikov;Denmark;DK;Læsø, ca 3 km NW of Byrum, DK-2014-V-03a;Exact;57.270556;10.995;0;Alexey Solodovnikov;Carabus nemoralis O.F.Müller, 1764;8056040;Animalia;Arthropoda;Insecta;Coleoptera;Carabidae;Carabus;Carabus nemoralis;0;#N/A;Carabus_nemoralis_DM255.fasta
